first_names,country,ISO numeric,rank,inverse_rank,probability
Peter,Austria,40,14.0,115.0,0.013714967203339297
Petra,Austria,40,57.0,72.0,0.008586762075134168
Philipp,Austria,40,46.0,83.0,0.009898628503279666
Raphael,Austria,40,64.0,65.0,0.007751937984496124
Reinhard,Austria,40,124.0,5.0,0.0005963029218843172
Renate,Austria,40,91.0,38.0,0.004531902206320811
Robert,Austria,40,80.0,49.0,0.0058437686344663085
Rudolf,Austria,40,114.0,15.0,0.0017889087656529517
Sabine,Austria,40,45.0,84.0,0.01001788908765653
Samuel,Austria,40,98.0,31.0,0.0036970781156827667
Sandra,Austria,40,39.0,90.0,0.01073345259391771
Sarah,Austria,40,15.0,114.0,0.013595706618962432
Sebastian,Austria,40,36.0,93.0,0.0110912343470483
Silvia,Austria,40,85.0,44.0,0.0052474657125819914
Simon,Austria,40,42.0,87.0,0.01037567084078712
Simone,Austria,40,67.0,62.0,0.007394156231365533
Sophie,Austria,40,9.0,120.0,0.014311270125223614
Stefan,Austria,40,20.0,109.0,0.012999403697078115
Stefanie,Austria,40,51.0,78.0,0.009302325581395349
Susanne,Austria,40,73.0,56.0,0.006678592725104353
Tamara,Austria,40,65.0,64.0,0.007632677400119261
Theresa,Austria,40,31.0,98.0,0.011687537268932617
Theresia,Austria,40,115.0,14.0,0.0016696481812760882
Thomas,Austria,40,10.0,119.0,0.01419200954084675
Tobias,Austria,40,54.0,75.0,0.008944543828264758
Ursula,Austria,40,95.0,34.0,0.004054859868813357
Valentin,Austria,40,74.0,55.0,0.00655933214072749
Verena,Austria,40,55.0,74.0,0.008825283243887896
Viktoria,Austria,40,33.0,96.0,0.01144901610017889
Waltraud,Austria,40,109.0,20.0,0.002385211687537269
Werner,Austria,40,122.0,7.0,0.0008348240906380441
Wolfgang,Austria,40,16.0,113.0,0.01347644603458557
Yvonne,Austria,40,77.0,52.0,0.006201550387596899
Aksana,Belarus,112,27.0,114.0,0.011791477037649978
Aksinia,Belarus,112,107.0,34.0,0.003516756309474555
Alena,Belarus,112,3.0,138.0,0.014273893256102607
Ales,Belarus,112,54.0,87.0,0.008998758791890774
Alesia,Belarus,112,55.0,86.0,0.00889532478278858
Aliaksandr,Belarus,112,0.0,141.0,0.014584195283409184
Aliaksei,Belarus,112,34.0,107.0,0.01106743897393463
Alina,Belarus,112,35.0,106.0,0.010964004964832437
Alisa,Belarus,112,77.0,64.0,0.006619776582540339
Alyaksandr,Belarus,112,106.0,35.0,0.003620190318576748
Anastasiya,Belarus,112,1.0,140.0,0.014480761274306992
Andrei,Belarus,112,2.0,139.0,0.0143773272652048
Anna,Belarus,112,41.0,100.0,0.01034340091021928
Anton,Belarus,112,40.0,101.0,0.010446834919321473
Artsiom,Belarus,112,26.0,115.0,0.011894911046752173
Artur,Belarus,112,76.0,65.0,0.006723210591642532
Barys,Belarus,112,62.0,79.0,0.008171286719073231
Belana,Belarus,112,63.0,78.0,0.008067852709971039
Bohdana,Belarus,112,109.0,32.0,0.0033098882912701694
Branislau,Belarus,112,108.0,33.0,0.0034133223003723623
Daniil,Belarus,112,84.0,57.0,0.005895738518824989
Danyil,Belarus,112,114.0,27.0,0.0027927182457592055
Daria,Belarus,112,85.0,56.0,0.005792304509722797
Darya,Belarus,112,5.0,136.0,0.01406702523789822
Diana,Belarus,112,69.0,72.0,0.007447248655357882
Dina,Belarus,112,115.0,26.0,0.0026892842366570127
Dzianis,Belarus,112,68.0,73.0,0.007550682664460074
Dzmitry,Belarus,112,4.0,137.0,0.014170459247000413
Dzmitryj,Belarus,112,32.0,109.0,0.011274306992139015
Eduard,Belarus,112,102.0,39.0,0.0040339263549855195
Elina,Belarus,112,103.0,38.0,0.003930492345883326
Faina,Belarus,112,89.0,52.0,0.005378568473314025
Fiodar,Belarus,112,88.0,53.0,0.005482002482416219
Halina,Belarus,112,47.0,94.0,0.009722796855606123
Hanna,Belarus,112,29.0,112.0,0.011584609019445594
Henadz,Belarus,112,46.0,95.0,0.009826230864708315
Heorhiy,Belarus,112,112.0,29.0,0.0029995862639635913
Hleb,Belarus,112,66.0,75.0,0.00775755068266446
Ihar,Belarus,112,16.0,125.0,0.0129292511377741
Illia,Belarus,112,116.0,25.0,0.00258585022755482
Ilya,Belarus,112,42.0,99.0,0.010239966901117087
Ina,Belarus,112,39.0,102.0,0.010550268928423666
Irma,Belarus,112,117.0,24.0,0.0024824162184526274
Iryna,Belarus,112,17.0,124.0,0.012825817128671908
Ivan,Belarus,112,38.0,103.0,0.010653702937525858
Kanstantsin,Belarus,112,64.0,77.0,0.007964418700868846
Karyna,Belarus,112,79.0,62.0,0.006412908564335954
Kastus,Belarus,112,118.0,23.0,0.0023789822093504345
Katsiaryna,Belarus,112,21.0,120.0,0.012412081092263137
Khrystyna,Belarus,112,65.0,76.0,0.007860984691766652
Kiryl,Belarus,112,78.0,63.0,0.006516342573438146
Klara,Belarus,112,119.0,22.0,0.0022755482002482417
Kseniya,Belarus,112,43.0,98.0,0.010136532892014894
Larysa,Belarus,112,121.0,20.0,0.002068680182043856
Lavon,Belarus,112,120.0,21.0,0.002172114191146049
Leanid,Belarus,112,60.0,81.0,0.008378154737277616
Liubou,Belarus,112,61.0,80.0,0.008274720728175424
Liudmila,Belarus,112,33.0,108.0,0.011170872983036822
Lizaveta,Belarus,112,91.0,50.0,0.00517170045510964
Luka,Belarus,112,90.0,51.0,0.005275134464211833
Maksim,Belarus,112,14.0,127.0,0.013136119155978485
Marat,Belarus,112,122.0,19.0,0.001965246172941663
Marharyta,Belarus,112,93.0,48.0,0.004964832436905255
Maryia,Belarus,112,57.0,84.0,0.008688456764584195
Maryna,Belarus,112,15.0,126.0,0.013032685146876293
Matvei,Belarus,112,92.0,49.0,0.005068266446007447
Maya,Belarus,112,123.0,18.0,0.0018618121638394704
Mikalai,Belarus,112,22.0,119.0,0.012308647083160944
Mikhail,Belarus,112,80.0,61.0,0.006309474555233761
Mikita,Belarus,112,56.0,85.0,0.008791890773686388
Milana,Belarus,112,81.0,60.0,0.006206040546131568
Nadzeya,Belarus,112,125.0,16.0,0.0016549441456350847
Natallia,Belarus,112,23.0,118.0,0.01220521307405875
Nazar,Belarus,112,124.0,17.0,0.0017583781547372776
Nikita,Belarus,112,94.0,47.0,0.0048613984278030615
Nina,Belarus,112,95.0,46.0,0.004757964418700869
Oleg,Belarus,112,126.0,15.0,0.001551510136532892
Olga,Belarus,112,127.0,14.0,0.0014480761274306992
Palina,Belarus,112,11.0,130.0,0.013446421183285064
Pavel,Belarus,112,10.0,131.0,0.013549855192387257
Piotr,Belarus,112,50.0,91.0,0.009412494828299546
Polina,Belarus,112,51.0,90.0,0.009309060819197352
Praskovya,Belarus,112,129.0,12.0,0.0012412081092263137
Pyotr,Belarus,112,128.0,13.0,0.0013446421183285063
Radim,Belarus,112,130.0,11.0,0.0011377741001241208
Raisa,Belarus,112,45.0,96.0,0.00992966487381051
Raman,Belarus,112,30.0,111.0,0.011481175010343401
Rayna,Belarus,112,131.0,10.0,0.001034340091021928
Ruslan,Belarus,112,44.0,97.0,0.010033098882912702
Ryta,Belarus,112,97.0,44.0,0.004551096400496483
Sasha,Belarus,112,99.0,42.0,0.004344228382292098
Saveliy,Belarus,112,98.0,43.0,0.00444766239139429
Siamion,Belarus,112,72.0,69.0,0.007136946628051304
Siarhei,Belarus,112,8.0,133.0,0.013756723210591643
Sofiya,Belarus,112,73.0,68.0,0.00703351261894911
Stanislau,Belarus,112,48.0,93.0,0.00961936284650393
Stas,Belarus,112,132.0,9.0,0.0009309060819197352
Sveta,Belarus,112,133.0,8.0,0.0008274720728175424
Sviatlana,Belarus,112,9.0,132.0,0.01365328920148945
Tamara,Belarus,112,101.0,40.0,0.004137360364087712
Tanya,Belarus,112,135.0,6.0,0.0006206040546131568
Taras,Belarus,112,134.0,7.0,0.0007240380637153496
Tatsiana,Belarus,112,31.0,110.0,0.011377741001241209
Timur,Belarus,112,100.0,41.0,0.004240794373189905
Ulad,Belarus,112,136.0,5.0,0.000517170045510964
Uladzimir,Belarus,112,20.0,121.0,0.012515515101365329
Uladzislau,Belarus,112,74.0,67.0,0.006930078609846918
Ulyana,Belarus,112,137.0,4.0,0.0004137360364087712
Vadzim,Belarus,112,82.0,59.0,0.006102606537029375
Valery,Belarus,112,24.0,117.0,0.012101779064956558
Valiantsina,Belarus,112,25.0,116.0,0.011998345055854365
Varvara,Belarus,112,83.0,58.0,0.0059991725279271825
Vasil,Belarus,112,36.0,105.0,0.010860570955730245
Vera,Belarus,112,111.0,30.0,0.003103020273065784
Veranika,Belarus,112,19.0,122.0,0.012618949110467521
Viachaslau,Belarus,112,58.0,83.0,0.008585022755482003
Vika,Belarus,112,139.0,2.0,0.0002068680182043856
Vikentiy,Belarus,112,138.0,3.0,0.0003103020273065784
Viktar,Belarus,112,6.0,135.0,0.013963591228796028
Viktoryia,Belarus,112,59.0,82.0,0.00848158874637981
Vital,Belarus,112,18.0,123.0,0.012722383119569714
Vitalik,Belarus,112,110.0,31.0,0.003206454282167977
Volha,Belarus,112,7.0,134.0,0.013860157219693836
Yadviga,Belarus,112,141.0,0.0,0.0
Yan,Belarus,112,140.0,1.0,0.0001034340091021928
Yana,Belarus,112,75.0,66.0,0.006826644600744725
Yaraslau,Belarus,112,86.0,55.0,0.005688870500620604
Yauhen,Belarus,112,70.0,71.0,0.0073438146462556884
Yauheni,Belarus,112,28.0,113.0,0.011688043028547786
Yauheniya,Belarus,112,87.0,54.0,0.005585436491518411
Yekaterina,Belarus,112,71.0,70.0,0.007240380637153496
Yuliya,Belarus,112,13.0,128.0,0.013239553165080678
Yury,Belarus,112,12.0,129.0,0.013342987174182872
Zakhar,Belarus,112,104.0,37.0,0.0038270583367811337
Zinaida,Belarus,112,53.0,88.0,0.009102192800992967
Zmitser,Belarus,112,52.0,89.0,0.009205626810095159
Zoya,Belarus,112,105.0,36.0,0.003723624327678941
Adam,Belgium,56,15.0,117.0,0.013328776486671223
Adrien,Belgium,56,65.0,67.0,0.0076327181590339485
AdÃ¨le,Belgium,56,118.0,14.0,0.001594896331738437
Agathe,Belgium,56,108.0,24.0,0.002734107997265892
Alexander,Belgium,56,43.0,89.0,0.01013898382319435
Alexandre,Belgium,56,83.0,49.0,0.005582137161084529
Alice,Belgium,56,12.0,120.0,0.01367053998632946
Alix,Belgium,56,62.0,70.0,0.007974481658692184
AmÃ©lie,Belgium,56,48.0,84.0,0.009569377990430622
AnaÃ¯s,Belgium,56,68.0,64.0,0.007290954659375712
Anna,Belgium,56,20.0,112.0,0.012759170653907496
Antoine,Belgium,56,53.0,79.0,0.008999772157666895
Apolline,Belgium,56,112.0,20.0,0.00227842333105491
Arnaud,Belgium,56,85.0,47.0,0.0053542948279790385
Arthur,Belgium,56,5.0,127.0,0.014467988152198678
Audrey,Belgium,56,88.0,44.0,0.005012531328320802
AurÃ©lien,Belgium,56,131.0,1.0,0.0001139211665527455
Baptiste,Belgium,56,81.0,51.0,0.00580997949419002
Bastien,Belgium,56,125.0,7.0,0.0007974481658692185
Benjamin,Belgium,56,59.0,73.0,0.008316245158350421
Camille,Belgium,56,6.0,126.0,0.014354066985645933
Capucine,Belgium,56,116.0,16.0,0.001822738664843928
Caroline,Belgium,56,92.0,40.0,0.00455684666210982
Charles,Belgium,56,103.0,29.0,0.0033037138300296195
Charlotte,Belgium,56,14.0,118.0,0.01344269765322397
ChloÃ©,Belgium,56,16.0,116.0,0.013214855320118478
Clara,Belgium,56,50.0,82.0,0.009341535657325132
ClÃ©mence,Belgium,56,82.0,50.0,0.005696058327637275
ClÃ©ment,Belgium,56,113.0,19.0,0.0021645021645021645
Constance,Belgium,56,110.0,22.0,0.002506265664160401
CÃ©dric,Belgium,56,127.0,5.0,0.0005696058327637275
CÃ©line,Belgium,56,74.0,58.0,0.006607427660059239
Damien,Belgium,56,109.0,23.0,0.0026201868307131463
David,Belgium,56,91.0,41.0,0.004670767828662566
Diane,Belgium,56,94.0,38.0,0.004329004329004329
Edouard,Belgium,56,105.0,27.0,0.0030758714969241286
