email_domains,country,ISO numeric,rank,inverse_rank,probability
yahoo.com,Croatia,191,4.0,10.0,0.09523809523809523
zg.t-com.hr,Croatia,191,7.0,7.0,0.06666666666666667
cablenet.com.cy,Cyprus,196,5.0,9.0,0.08571428571428572
cyta.com.cy,Cyprus,196,10.0,4.0,0.0380952380952381
cytanet.com.cy,Cyprus,196,0.0,14.0,0.13333333333333333
cytanet.cy,Cyprus,196,9.0,5.0,0.047619047619047616
forthnet.gr,Cyprus,196,12.0,2.0,0.01904761904761905
gmail.com,Cyprus,196,1.0,13.0,0.12380952380952381
hotmail.com,Cyprus,196,2.0,12.0,0.11428571428571428
live.com,Cyprus,196,14.0,0.0,0.0
logosnet.cy.net,Cyprus,196,8.0,6.0,0.05714285714285714
mail.com,Cyprus,196,13.0,1.0,0.009523809523809525
otenet.gr,Cyprus,196,11.0,3.0,0.02857142857142857
outlook.com,Cyprus,196,3.0,11.0,0.10476190476190476
primetel.com.cy,Cyprus,196,6.0,8.0,0.0761904761904762
spidernet.com.cy,Cyprus,196,7.0,7.0,0.06666666666666667
yahoo.com,Cyprus,196,4.0,10.0,0.09523809523809523
atlas.cz,Czech Republic,203,6.0,8.0,0.0761904761904762
azet.sk,Czech Republic,203,12.0,2.0,0.01904761904761905
centrum.cz,Czech Republic,203,2.0,12.0,0.11428571428571428
email.cz,Czech Republic,203,3.0,11.0,0.10476190476190476
gmail.com,Czech Republic,203,1.0,13.0,0.12380952380952381
hotmail.com,Czech Republic,203,11.0,3.0,0.02857142857142857
o2.cz,Czech Republic,203,13.0,1.0,0.009523809523809525
outlook.com,Czech Republic,203,9.0,5.0,0.047619047619047616
post.cz,Czech Republic,203,4.0,10.0,0.09523809523809523
quick.cz,Czech Republic,203,7.0,7.0,0.06666666666666667
seznam.cz,Czech Republic,203,0.0,14.0,0.13333333333333333
t-mobile.cz,Czech Republic,203,14.0,0.0,0.0
tiscali.cz,Czech Republic,203,8.0,6.0,0.05714285714285714
volny.cz,Czech Republic,203,5.0,9.0,0.08571428571428572
yahoo.com,Czech Republic,203,10.0,4.0,0.0380952380952381
get2net.dk,Denmark,208,11.0,3.0,0.02857142857142857
gmail.com,Denmark,208,0.0,14.0,0.13333333333333333
hotmail.com,Denmark,208,1.0,13.0,0.12380952380952381
jubii.dk,Denmark,208,4.0,10.0,0.09523809523809523
mail.dk,Denmark,208,5.0,9.0,0.08571428571428572
ofir.dk,Denmark,208,9.0,5.0,0.047619047619047616
outlook.com,Denmark,208,2.0,12.0,0.11428571428571428
post.tele.dk,Denmark,208,8.0,6.0,0.05714285714285714
privat.dk,Denmark,208,14.0,0.0,0.0
stofanet.dk,Denmark,208,10.0,4.0,0.0380952380952381
tdc.dk,Denmark,208,7.0,7.0,0.06666666666666667
tdcadsl.dk,Denmark,208,12.0,2.0,0.01904761904761905
webspeed.dk,Denmark,208,6.0,8.0,0.0761904761904762
yahoo.com,Denmark,208,3.0,11.0,0.10476190476190476
youmail.dk,Denmark,208,13.0,1.0,0.009523809523809525
eesti.ee,Estonia,233,14.0,0.0,0.0
elion.ee,Estonia,233,10.0,4.0,0.0380952380952381
emt.ee,Estonia,233,9.0,5.0,0.047619047619047616
gmail.com,Estonia,233,0.0,14.0,0.13333333333333333
hot.ee,Estonia,233,1.0,13.0,0.12380952380952381
hotmail.com,Estonia,233,13.0,1.0,0.009523809523809525
inbox.lv,Estonia,233,4.0,10.0,0.09523809523809523
mail.ee,Estonia,233,2.0,12.0,0.11428571428571428
neti.ee,Estonia,233,12.0,2.0,0.01904761904761905
online.ee,Estonia,233,11.0,3.0,0.02857142857142857
outlook.com,Estonia,233,6.0,8.0,0.0761904761904762
tlu.ee,Estonia,233,7.0,7.0,0.06666666666666667
ut.ee,Estonia,233,8.0,6.0,0.05714285714285714
yahoo.com,Estonia,233,5.0,9.0,0.08571428571428572
zone.ee,Estonia,233,3.0,11.0,0.10476190476190476
email.fo,Faroe Is.,234,7.0,7.0,0.06666666666666667
fo.fo,Faroe Is.,234,10.0,4.0,0.0380952380952381
foroya.fo,Faroe Is.,234,5.0,9.0,0.08571428571428572
gmail.com,Faroe Is.,234,0.0,14.0,0.13333333333333333
hotmail.com,Faroe Is.,234,1.0,13.0,0.12380952380952381
kallnet.fo,Faroe Is.,234,11.0,3.0,0.02857142857142857
kvf.fo,Faroe Is.,234,14.0,0.0,0.0
magn.fo,Faroe Is.,234,12.0,2.0,0.01904761904761905
olivant.fo,Faroe Is.,234,3.0,11.0,0.10476190476190476
outlook.com,Faroe Is.,234,2.0,12.0,0.11428571428571428
post.fo,Faroe Is.,234,4.0,10.0,0.09523809523809523
setur.fo,Faroe Is.,234,8.0,6.0,0.05714285714285714
ssh.fo,Faroe Is.,234,13.0,1.0,0.009523809523809525
tele.fo,Faroe Is.,234,6.0,8.0,0.0761904761904762
vodamail.fo,Faroe Is.,234,9.0,5.0,0.047619047619047616
dnainternet.fi,Finland,246,11.0,3.0,0.02857142857142857
elisa.fi,Finland,246,4.0,10.0,0.09523809523809523
gmail.com,Finland,246,0.0,14.0,0.13333333333333333
hotmail.com,Finland,246,1.0,13.0,0.12380952380952381
jippii.fi,Finland,246,13.0,1.0,0.009523809523809525
kolumbus.fi,Finland,246,6.0,8.0,0.0761904761904762
luukku.com,Finland,246,8.0,6.0,0.05714285714285714
netti.fi,Finland,246,14.0,0.0,0.0
outlook.com,Finland,246,2.0,12.0,0.11428571428571428
pp.inet.fi,Finland,246,9.0,5.0,0.047619047619047616
saunalahti.fi,Finland,246,7.0,7.0,0.06666666666666667
sonera.fi,Finland,246,5.0,9.0,0.08571428571428572
suomi24.fi,Finland,246,12.0,2.0,0.01904761904761905
welho.com,Finland,246,10.0,4.0,0.0380952380952381
yahoo.com,Finland,246,3.0,11.0,0.10476190476190476
aliceadsl.fr,France,250,12.0,2.0,0.01904761904761905
bbox.fr,France,250,9.0,5.0,0.047619047619047616
club-internet.fr,France,250,13.0,1.0,0.009523809523809525
free.fr,France,250,3.0,11.0,0.10476190476190476
gmail.com,France,250,0.0,14.0,0.13333333333333333
hotmail.fr,France,250,4.0,10.0,0.09523809523809523
laposte.net,France,250,2.0,12.0,0.11428571428571428
live.fr,France,250,10.0,4.0,0.0380952380952381
neuf.fr,France,250,14.0,0.0,0.0
numericable.fr,France,250,11.0,3.0,0.02857142857142857
orange.fr,France,250,1.0,13.0,0.12380952380952381
outlook.fr,France,250,5.0,9.0,0.08571428571428572
sfr.fr,France,250,8.0,6.0,0.05714285714285714
wanadoo.fr,France,250,7.0,7.0,0.06666666666666667
yahoo.fr,France,250,6.0,8.0,0.0761904761904762
1und1.de,Germany,276,10.0,4.0,0.0380952380952381
arcor.de,Germany,276,9.0,5.0,0.047619047619047616
freenet.de,Germany,276,6.0,8.0,0.0761904761904762
gmail.com,Germany,276,0.0,14.0,0.13333333333333333
gmx.de,Germany,276,2.0,12.0,0.11428571428571428
gmx.net,Germany,276,8.0,6.0,0.05714285714285714
hotmail.de,Germany,276,7.0,7.0,0.06666666666666667
icloud.com,Germany,276,14.0,0.0,0.0
mail.de,Germany,276,11.0,3.0,0.02857142857142857
mailbox.org,Germany,276,13.0,1.0,0.009523809523809525
outlook.com,Germany,276,4.0,10.0,0.09523809523809523
posteo.de,Germany,276,12.0,2.0,0.01904761904761905
t-online.de,Germany,276,3.0,11.0,0.10476190476190476
web.de,Germany,276,1.0,13.0,0.12380952380952381
yahoo.de,Germany,276,5.0,9.0,0.08571428571428572
aol.com,Gibraltar,292,8.0,6.0,0.05714285714285714
btinternet.com,Gibraltar,292,13.0,1.0,0.009523809523809525
gibnet.gi,Gibraltar,292,5.0,9.0,0.08571428571428572
gibtele.com,Gibraltar,292,4.0,10.0,0.09523809523809523
gmail.com,Gibraltar,292,0.0,14.0,0.13333333333333333
hotmail.co.uk,Gibraltar,292,11.0,3.0,0.02857142857142857
hotmail.com,Gibraltar,292,1.0,13.0,0.12380952380952381
icloud.com,Gibraltar,292,9.0,5.0,0.047619047619047616
live.com,Gibraltar,292,10.0,4.0,0.0380952380952381
mail.com,Gibraltar,292,14.0,0.0,0.0
outlook.com,Gibraltar,292,2.0,12.0,0.11428571428571428
rockmail.gi,Gibraltar,292,7.0,7.0,0.06666666666666667
sapphire.gi,Gibraltar,292,6.0,8.0,0.0761904761904762
yahoo.co.uk,Gibraltar,292,12.0,2.0,0.01904761904761905
yahoo.com,Gibraltar,292,3.0,11.0,0.10476190476190476
cosmote.gr,Greece,300,7.0,7.0,0.06666666666666667
cytanet.com.cy,Greece,300,11.0,3.0,0.02857142857142857
forthnet.gr,Greece,300,5.0,9.0,0.08571428571428572
gmail.com,Greece,300,0.0,14.0,0.13333333333333333
hol.gr,Greece,300,6.0,8.0,0.0761904761904762
hotmail.com,Greece,300,2.0,12.0,0.11428571428571428
in.gr,Greece,300,9.0,5.0,0.047619047619047616
mail.gr,Greece,300,10.0,4.0,0.0380952380952381
nova.gr,Greece,300,14.0,0.0,0.0
otenet.gr,Greece,300,4.0,10.0,0.09523809523809523
outlook.com,Greece,300,3.0,11.0,0.10476190476190476
vodafone.gr,Greece,300,12.0,2.0,0.01904761904761905
wind.gr,Greece,300,13.0,1.0,0.009523809523809525
windowslive.com,Greece,300,8.0,6.0,0.05714285714285714
yahoo.gr,Greece,300,1.0,13.0,0.12380952380952381
aol.com,Guernsey,831,9.0,5.0,0.047619047619047616
btinternet.com,Guernsey,831,5.0,9.0,0.08571428571428572
cwgsy.net,Guernsey,831,6.0,8.0,0.0761904761904762
gmail.com,Guernsey,831,0.0,14.0,0.13333333333333333
googlemail.com,Guernsey,831,7.0,7.0,0.06666666666666667
hotmail.co.uk,Guernsey,831,4.0,10.0,0.09523809523809523
hotmail.com,Guernsey,831,3.0,11.0,0.10476190476190476
icloud.com,Guernsey,831,8.0,6.0,0.05714285714285714
live.co.uk,Guernsey,831,10.0,4.0,0.0380952380952381
mail.com,Guernsey,831,14.0,0.0,0.0
outlook.com,Guernsey,831,1.0,13.0,0.12380952380952381
protonmail.com,Guernsey,831,13.0,1.0,0.009523809523809525
sky.com,Guernsey,831,11.0,3.0,0.02857142857142857
talktalk.net,Guernsey,831,12.0,2.0,0.01904761904761905
yahoo.co.uk,Guernsey,831,2.0,12.0,0.11428571428571428
chello.hu,Hungary,348,8.0,6.0,0.05714285714285714
citromail.hu,Hungary,348,2.0,12.0,0.11428571428571428
externet.hu,Hungary,348,13.0,1.0,0.009523809523809525
freemail.hu,Hungary,348,1.0,13.0,0.12380952380952381
gmail.com,Hungary,348,0.0,14.0,0.13333333333333333
hotmail.com,Hungary,348,3.0,11.0,0.10476190476190476
index.hu,Hungary,348,9.0,5.0,0.047619047619047616
invitel.hu,Hungary,348,7.0,7.0,0.06666666666666667
mailbox.hu,Hungary,348,10.0,4.0,0.0380952380952381
outlook.com,Hungary,348,4.0,10.0,0.09523809523809523
t-online.hu,Hungary,348,6.0,8.0,0.0761904761904762
upcmail.hu,Hungary,348,12.0,2.0,0.01904761904761905
vipmail.hu,Hungary,348,11.0,3.0,0.02857142857142857
webmail.hu,Hungary,348,14.0,0.0,0.0
yahoo.com,Hungary,348,5.0,9.0,0.08571428571428572
365.is,Iceland,352,7.0,7.0,0.06666666666666667
gmail.com,Iceland,352,0.0,14.0,0.13333333333333333
hive.is,Iceland,352,6.0,8.0,0.0761904761904762
hotmail.com,Iceland,352,10.0,4.0,0.0380952380952381
icloud.com,Iceland,352,12.0,2.0,0.01904761904761905
internet.is,Iceland,352,2.0,12.0,0.11428571428571428
mi.is,Iceland,352,4.0,10.0,0.09523809523809523
mmedia.is,Iceland,352,14.0,0.0,0.0
nova.is,Iceland,352,8.0,6.0,0.05714285714285714
outlook.com,Iceland,352,9.0,5.0,0.047619047619047616
simnet.is,Iceland,352,1.0,13.0,0.12380952380952381
snerpa.is,Iceland,352,13.0,1.0,0.009523809523809525
visir.is,Iceland,352,3.0,11.0,0.10476190476190476
vodafone.is,Iceland,352,5.0,9.0,0.08571428571428572
yahoo.com,Iceland,352,11.0,3.0,0.02857142857142857
aol.com,Ireland,372,13.0,1.0,0.009523809523809525
eircom.net,Ireland,372,4.0,10.0,0.09523809523809523
gmail.com,Ireland,372,0.0,14.0,0.13333333333333333
gmx.com,Ireland,372,14.0,0.0,0.0
hotmail.com,Ireland,372,3.0,11.0,0.10476190476190476
icloud.com,Ireland,372,5.0,9.0,0.08571428571428572
live.ie,Ireland,372,8.0,6.0,0.05714285714285714
mail.com,Ireland,372,9.0,5.0,0.047619047619047616
outlook.com,Ireland,372,1.0,13.0,0.12380952380952381
protonmail.com,Ireland,372,10.0,4.0,0.0380952380952381
sky.com,Ireland,372,12.0,2.0,0.01904761904761905
tcd.ie,Ireland,372,7.0,7.0,0.06666666666666667
ucd.ie,Ireland,372,6.0,8.0,0.0761904761904762
vodafone.ie,Ireland,372,11.0,3.0,0.02857142857142857
yahoo.ie,Ireland,372,2.0,12.0,0.11428571428571428
alice.it,Italy,380,7.0,7.0,0.06666666666666667
aruba.it,Italy,380,13.0,1.0,0.009523809523809525
email.it,Italy,380,10.0,4.0,0.0380952380952381
fastwebnet.it,Italy,380,9.0,5.0,0.047619047619047616
gmail.com,Italy,380,0.0,14.0,0.13333333333333333
hotmail.it,Italy,380,3.0,11.0,0.10476190476190476
icloud.com,Italy,380,14.0,0.0,0.0
libero.it,Italy,380,1.0,13.0,0.12380952380952381
live.it,Italy,380,11.0,3.0,0.02857142857142857
outlook.it,Italy,380,5.0,9.0,0.08571428571428572
poste.it,Italy,380,12.0,2.0,0.01904761904761905
tin.it,Italy,380,8.0,6.0,0.05714285714285714
tiscali.it,Italy,380,6.0,8.0,0.0761904761904762
virgilio.it,Italy,380,2.0,12.0,0.11428571428571428
yahoo.it,Italy,380,4.0,10.0,0.09523809523809523
apollo.lv,Latvia,428,3.0,11.0,0.10476190476190476
baltcom.lv,Latvia,428,14.0,0.0,0.0
delfi.lv,Latvia,428,11.0,3.0,0.02857142857142857
e-apollo.lv,Latvia,428,13.0,1.0,0.009523809523809525
gmail.com,Latvia,428,0.0,14.0,0.13333333333333333
hotmail.com,Latvia,428,8.0,6.0,0.05714285714285714
inbox.lv,Latvia,428,1.0,13.0,0.12380952380952381
latnet.lv,Latvia,428,9.0,5.0,0.047619047619047616
mail.lv,Latvia,428,2.0,12.0,0.11428571428571428
navigator.lv,Latvia,428,10.0,4.0,0.0380952380952381
one.lv,Latvia,428,4.0,10.0,0.09523809523809523
outlook.com,Latvia,428,6.0,8.0,0.0761904761904762
parks.lv,Latvia,428,12.0,2.0,0.01904761904761905
tvnet.lv,Latvia,428,5.0,9.0,0.08571428571428572
yahoo.com,Latvia,428,7.0,7.0,0.06666666666666667
aol.com,Liechtenstein,438,9.0,5.0,0.047619047619047616
bluewin.ch,Liechtenstein,438,3.0,11.0,0.10476190476190476
gmail.com,Liechtenstein,438,0.0,14.0,0.13333333333333333
gmx.ch,Liechtenstein,438,5.0,9.0,0.08571428571428572
gmx.li,Liechtenstein,438,4.0,10.0,0.09523809523809523
hotmail.com,Liechtenstein,438,1.0,13.0,0.12380952380952381
icloud.com,Liechtenstein,438,8.0,6.0,0.05714285714285714
mail.li,Liechtenstein,438,10.0,4.0,0.0380952380952381
outlook.com,Liechtenstein,438,2.0,12.0,0.11428571428571428
protonmail.com,Liechtenstein,438,7.0,7.0,0.06666666666666667
sunrise.ch,Liechtenstein,438,13.0,1.0,0.009523809523809525
swisscom.ch,Liechtenstein,438,12.0,2.0,0.01904761904761905
telecom.li,Liechtenstein,438,11.0,3.0,0.02857142857142857
web.de,Liechtenstein,438,14.0,0.0,0.0
yahoo.com,Liechtenstein,438,6.0,8.0,0.0761904761904762
5ci.lt,Lithuania,440,14.0,0.0,0.0
delfi.lt,Lithuania,440,13.0,1.0,0.009523809523809525
gmail.com,Lithuania,440,0.0,14.0,0.13333333333333333
hotmail.com,Lithuania,440,2.0,12.0,0.11428571428571428
inbox.lt,Lithuania,440,4.0,10.0,0.09523809523809523
mail.lt,Lithuania,440,9.0,5.0,0.047619047619047616
omnitel.net,Lithuania,440,12.0,2.0,0.01904761904761905
one.lt,Lithuania,440,7.0,7.0,0.06666666666666667
outlook.com,Lithuania,440,3.0,11.0,0.10476190476190476
post.lt,Lithuania,440,8.0,6.0,0.05714285714285714
takas.lt,Lithuania,440,6.0,8.0,0.0761904761904762
tele2.lt,Lithuania,440,11.0,3.0,0.02857142857142857
telia.lt,Lithuania,440,10.0,4.0,0.0380952380952381
yahoo.com,Lithuania,440,1.0,13.0,0.12380952380952381
zebra.lt,Lithuania,440,5.0,9.0,0.08571428571428572
aol.com,Luxembourg,442,14.0,0.0,0.0
gmail.com,Luxembourg,442,0.0,14.0,0.13333333333333333
gmx.de,Luxembourg,442,9.0,5.0,0.047619047619047616
gmx.lu,Luxembourg,442,10.0,4.0,0.0380952380952381
hotmail.com,Luxembourg,442,1.0,13.0,0.12380952380952381
hotmail.fr,Luxembourg,442,12.0,2.0,0.01904761904761905
icloud.com,Luxembourg,442,8.0,6.0,0.05714285714285714
live.com,Luxembourg,442,13.0,1.0,0.009523809523809525
orange.lu,Luxembourg,442,6.0,8.0,0.0761904761904762
outlook.com,Luxembourg,442,2.0,12.0,0.11428571428571428
post.lu,Luxembourg,442,7.0,7.0,0.06666666666666667
pt.lu,Luxembourg,442,3.0,11.0,0.10476190476190476
web.de,Luxembourg,442,5.0,9.0,0.08571428571428572
yahoo.com,Luxembourg,442,4.0,10.0,0.09523809523809523
yahoo.fr,Luxembourg,442,11.0,3.0,0.02857142857142857
blizoo.mk,Macedonia,807,9.0,5.0,0.047619047619047616
gmail.com,Macedonia,807,0.0,14.0,0.13333333333333333
hotmail.com,Macedonia,807,2.0,12.0,0.11428571428571428
kabinet.mk,Macedonia,807,10.0,4.0,0.0380952380952381
live.com,Macedonia,807,14.0,0.0,0.0
mol.com.mk,Macedonia,807,12.0,2.0,0.01904761904761905
mt.net.mk,Macedonia,807,5.0,9.0,0.08571428571428572
neotel.mk,Macedonia,807,8.0,6.0,0.05714285714285714
on.net.mk,Macedonia,807,6.0,8.0,0.0761904761904762
outlook.com,Macedonia,807,3.0,11.0,0.10476190476190476
sonet.com.mk,Macedonia,807,11.0,3.0,0.02857142857142857
t-home.mk,Macedonia,807,4.0,10.0,0.09523809523809523
telekabel.com.mk,Macedonia,807,7.0,7.0,0.06666666666666667
walla.mk,Macedonia,807,13.0,1.0,0.009523809523809525
yahoo.com,Macedonia,807,1.0,13.0,0.12380952380952381
epic.net.mt,Malta,470,10.0,4.0,0.0380952380952381
global.net.mt,Malta,470,11.0,3.0,0.02857142857142857
gmail.com,Malta,470,0.0,14.0,0.13333333333333333
go.net.mt,Malta,470,4.0,10.0,0.09523809523809523
hotmail.com,Malta,470,1.0,13.0,0.12380952380952381
keyworld.net,Malta,470,12.0,2.0,0.01904761904761905
maltanet.net,Malta,470,8.0,6.0,0.05714285714285714
melita.com,Malta,470,6.0,8.0,0.0761904761904762
onvol.net,Malta,470,5.0,9.0,0.08571428571428572
outlook.com,Malta,470,2.0,12.0,0.11428571428571428
synapse.net.mt,Malta,470,14.0,0.0,0.0
vodafone.com.mt,Malta,470,9.0,5.0,0.047619047619047616
vol.net.mt,Malta,470,13.0,1.0,0.009523809523809525
waldonet.net.mt,Malta,470,7.0,7.0,0.06666666666666667
yahoo.com,Malta,470,3.0,11.0,0.10476190476190476
bk.ru,Moldova,498,8.0,6.0,0.05714285714285714
gmail.com,Moldova,498,0.0,14.0,0.13333333333333333
hotmail.com,Moldova,498,4.0,10.0,0.09523809523809523
inbox.ru,Moldova,498,6.0,8.0,0.0761904761904762
list.ru,Moldova,498,7.0,7.0,0.06666666666666667
mail.ru,Moldova,498,1.0,13.0,0.12380952380952381
moldtelecom.md,Moldova,498,10.0,4.0,0.0380952380952381
mtc.md,Moldova,498,14.0,0.0,0.0
orange.md,Moldova,498,13.0,1.0,0.009523809523809525
outlook.com,Moldova,498,5.0,9.0,0.08571428571428572
rambler.ru,Moldova,498,9.0,5.0,0.047619047619047616
starnet.md,Moldova,498,12.0,2.0,0.01904761904761905
unite.md,Moldova,498,11.0,3.0,0.02857142857142857
yahoo.com,Moldova,498,3.0,11.0,0.10476190476190476
yandex.ru,Moldova,498,2.0,12.0,0.11428571428571428
free.fr,Monaco,492,6.0,8.0,0.0761904761904762
gmail.com,Monaco,492,0.0,14.0,0.13333333333333333
